id,score,target
11906497,2-3,away
11984383,1-0,home
11983301,2-2,draw
11983471,1-2,away
11883005,1-0,home
11974168,3-3,draw
11974170,2-1,home
11974169,2-4,away
11982841,2-1,home
11974171,2-1,home
11983473,2-3,away
11906934,0-1,away
11906932,1-1,draw
11906928,2-2,draw
11906931,0-0,draw
11701162,0-1,away
11701163,1-0,home
11701169,1-3,away
11701161,1-0,home
11701164,1-1,draw
11701165,2-1,home
11977689,1-3,away
11701166,0-2,away
11701167,3-0,home
11951342,0-2,away
11855320,1-2,away
11964383,2-3,away
11964382,1-1,draw
11975146,0-0,draw
11975144,1-4,away
11975145,1-0,home
11954687,1-4,away
11954688,4-1,home
11951343,1-2,away
11864730,1-0,home
11864735,1-1,draw
11775437,1-2,away
11775436,1-0,home
11775442,3-2,home
11775435,2-0,home
11775441,2-0,home
11775440,2-0,home
11775439,6-0,home
11775438,3-0,home
11964388,1-1,draw
11964387,0-4,away
11964385,1-2,away
11964384,1-9,away
11964386,4-2,home
11855318,3-1,home
11855317,0-3,away
11977834,3-0,home
11977835,3-0,home
11858530,1-1,draw
11939770,3-2,home
11977325,2-5,away
11904063,1-2,away
11977326,5-0,home
11954813,0-1,away
11881163,5-1,home
11954689,0-1,away
11928931,2-2,draw
11897597,1-2,away
11941020,1-0,home
11941017,1-2,away
11940682,2-0,home
11928930,1-0,home
11921948,0-1,away
11954815,0-1,away
11921946,3-1,home
11921945,5-0,home
11911050,2-3,away
11921947,0-2,away
11921765,1-4,away
11921584,4-3,home
11914110,1-1,draw
11894962,1-2,away
11874397,0-0,draw
11582854,1-2,away
11921943,1-0,home
11928926,3-1,home
11939453,1-0,home
11939451,1-1,draw
11937966,0-0,draw
11941019,1-1,draw
11941018,1-1,draw
11941023,0-1,away
11939767,0-1,away
11939458,2-1,home
11939764,3-1,home
11939765,1-1,draw
11939455,2-6,away
11939766,0-1,away
11945359,2-1,home
11937964,1-0,home
11937962,1-0,home
11930796,1-1,draw
11914106,8-0,home
11927016,4-1,home
11927017,0-0,draw
11927018,0-2,away
11897598,3-2,home
11941015,0-0,draw
11945358,3-3,draw
11943472,1-2,away
11937965,2-1,home
11940677,1-4,away
11943844,2-1,home
11865469,2-1,home
11911053,0-0,draw
11927015,2-1,home
11926636,2-1,home
11926634,2-0,home
11916317,1-0,home
11916316,2-2,draw
11927020,0-1,away
11911057,2-0,home
11911055,0-1,away
11983521,1-0,home
11941411,1-3,away
11911051,0-1,away
11941415,1-1,draw
11910675,1-1,draw
11941407,1-0,home
11927023,3-3,draw
11797327,5-3,home
11927776,2-2,draw
11968911,1-2,away
11933923,2-1,home
11797334,2-1,home
11797332,1-0,home
11928925,1-1,draw
11928924,1-0,home
11910673,1-0,home
11797331,1-1,draw
11957392,0-1,away
11797330,0-2,away
11797329,1-3,away
11927780,0-0,draw
11927778,2-2,draw
11797328,1-2,away
11928537,1-2,away
11910672,1-1,draw
11855319,0-2,away
11909917,1-2,away
11896437,1-0,home
11909911,6-1,home
11909912,3-1,home
11910670,1-3,away
11974078,0-0,draw
11942610,1-0,home
11945362,2-1,home
11909913,2-1,home
11975439,1-0,home
11914107,0-0,draw
11909915,2-0,home
11942616,0-0,draw
11914235,1-2,away
11865472,3-0,home
11895953,1-0,home
11943088,0-1,away
11943089,0-2,away
11909918,1-2,away
11921585,1-1,draw
11921767,1-2,away
11943090,1-0,home
11910296,1-2,away
11910298,1-0,home
11945356,2-0,home
11943085,0-0,draw
11871718,2-5,away
11902155,0-1,away
11929310,0-2,away
11927775,1-0,home
11935655,3-0,home
11937581,2-2,draw
11980886,3-0,home
11878257,2-1,home
11948937,2-0,home
11864148,2-1,home
11875574,2-0,home
11983650,3-1,home
11983648,1-4,away
11983649,0-0,draw
11582852,2-1,home
11968913,3-1,home
11907813,0-1,away
11977836,2-1,home
11968910,2-0,home
11938631,2-2,draw
11977413,0-0,draw
11977414,3-1,home
11977417,1-1,draw
11938632,1-0,home
11582853,2-0,home
11909030,0-1,away
11964947,2-2,draw
11880149,1-2,away
11880850,1-0,home
11879849,3-0,home
11879848,1-0,home
11879633,1-4,away
11878497,2-0,home
11878494,1-1,draw
11901018,2-1,home
11901017,0-3,away
11901016,0-3,away
11901014,2-0,home
11901011,0-0,draw
11879846,1-1,draw
11905785,3-0,home
11909028,1-2,away
11943850,1-1,draw
11885115,3-2,home
11878256,2-3,away
11907812,2-1,home
11904741,2-3,away
11885116,1-2,away
11935105,0-3,away
11935104,4-0,home
11935103,1-1,draw
11885688,0-2,away
11891425,1-1,draw
11935101,1-0,home
11921949,1-1,draw
11905787,1-5,away
11907811,1-3,away
11917585,4-0,home
11912994,1-2,away
11878255,1-2,away
11874398,1-1,draw
11904491,0-2,away
11904492,3-1,home
11946512,4-0,home
11904843,11-1,home
11885872,2-1,home
11904496,0-1,away
11904493,2-2,draw
11946514,0-0,draw
11904490,0-2,away
11885869,1-3,away
11965755,4-0,home
11885867,1-0,home
11965767,0-1,away
11966381,2-0,home
11875566,3-0,home
11966388,1-1,draw
11906109,5-0,home
11934232,3-0,home
11934233,0-2,away
11981630,1-1,draw
11982039,2-1,home
11982197,2-2,draw
11983522,2-2,draw
11983620,1-0,home
11973369,3-1,home
11982034,0-0,draw
11969948,2-2,draw
11897905,1-1,draw
11972148,1-1,draw
11980834,0-2,away
11948780,2-0,home
11948781,1-2,away
11969169,1-0,home
11969946,1-0,home
11969945,0-0,draw
11894971,0-2,away
11897904,2-2,draw
11948784,1-1,draw
11969947,2-0,home
11971968,1-2,away
11981618,1-3,away
11971964,4-0,home
11891427,2-3,away
11895946,2-0,home
11897907,4-1,home
11896953,1-4,away
11897257,1-1,draw
11897599,4-3,home
11897600,2-2,draw
11903240,0-0,draw
11897601,1-1,draw
11897602,2-5,away
11971967,1-1,draw
11897909,6-2,home
11897906,2-1,home
11897603,2-0,home
11897908,1-0,home
11890431,1-0,home
11865473,2-1,home
11896948,3-1,home
11966775,5-1,home
11903242,1-1,draw
11913525,1-3,away
11966779,2-0,home
11966780,3-3,draw
11967407,0-1,away
11967408,0-0,draw
11967410,2-0,home
11905132,2-2,draw
11913524,3-0,home
11903241,2-2,draw
11905514,0-1,away
11905515,4-2,home
11905516,1-2,away
11905517,2-3,away
11905518,4-2,home
11959934,1-1,draw
11960233,0-0,draw
11960235,1-1,draw
11960236,0-1,away
11959930,1-4,away
11960238,1-3,away
11960240,2-2,draw
11962407,3-4,away
11962408,3-0,home
11959933,2-1,home
11962409,2-3,away
11917094,0-0,draw
11962411,0-4,away
11962412,4-0,home
11962413,0-0,draw
11962415,3-0,home
11963132,1-1,draw
11963134,1-1,draw
11963135,1-0,home
11963136,2-0,home
11963138,3-1,home
